Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Landis, J.R., Koch, G.G.","7005010819;7401744122;","The measurement of observer agreement for categorical data",1977,"Biometrics","33","1",,"159","174",,33155,"10.2307/2529310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017360990&doi=10.2307%2f2529310&partnerID=40&md5=2c6854ce4ed10cc020270e91318cfde4",Article,"Final",,Scopus,2-s2.0-0017360990
"Gonzalez, R.C., Woods, R.E.","",[No title available],1992,"Digital Image Processing",,,,"","",,28629,,,Article,"Final",,Scopus,2-s2.0-0003626435
"Winer, B.J.","",[No title available],1971,"Statistical Principles in Experimental Design",,,,"","",,25293,,,Article,"Final",,Scopus,2-s2.0-0003689119
"Kirkpatrick, S., Gelatt Jr., C.D., Vecchi, M.P.","56230436900;6506854743;57198290180;","Optimization by simulated annealing",1983,"Science","220","4598",,"671","680",,24066,"10.1126/science.220.4598.671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26444479778&doi=10.1126%2fscience.220.4598.671&partnerID=40&md5=ee8bc3174ad1a1a2ce3f513e803fe0ed",Article,"Final",,Scopus,2-s2.0-26444479778
"Vygotsky, L.S.","","Mind in society: The development of higher psychological processes",1978,"Mind in Society: The Development of Higher Psychological Processes",,,,"","",,20469,,,Article,"Final",,Scopus,2-s2.0-0003605655
"Vapnik, V.N.","",[No title available],1998,"Statistical Learning Theory",,,,"","",,20245,,,Article,"Final",,Scopus,2-s2.0-0003991806
"Deb, K., Pratap, A., Agarwal, S., Meyarivan, T.","7006019904;22986312100;55258574200;6507936765;","A fast and elitist multiobjective genetic algorithm: NSGA-II",2002,"IEEE Transactions on Evolutionary Computation","6","2",,"182","197",,18619,"10.1109/4235.996017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036530772&doi=10.1109%2f4235.996017&partnerID=40&md5=76831106ec37df04361f38a96f7c2508",Article,"Final",,Scopus,2-s2.0-0036530772
"Krizhevsky, A., Sutskever, I., Hinton, G.E.","40761762200;24831264500;7006699573;","ImageNet classification with deep convolutional neural networks",2012,"Advances in Neural Information Processing Systems","2",,,"1097","1105",,18099,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876231242&partnerID=40&md5=621b2cd1757ccc77341281f8a2f2ecaf",Conference Paper,"Final",,Scopus,2-s2.0-84876231242
"Bishop, C.M.","",[No title available],2006,"Pattern Recognition and Machine Learning",,,,"","",,17969,,,Article,"Final",,Scopus,2-s2.0-33846516584
"Nelder, J.A., Mead, R.","","A simplex method for function minimization",1965,"Comput. J.","7",,,"308","313",,17176,,,Article,"Final",,Scopus,2-s2.0-0000238336
