Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Kolb, D.A.","","Experiential learning: Experience as the source of learning and development",1984,"Experiential Learning: Experience as the Source of Learning and Development",,,,"","",,12499,,,Article,"Final",,Scopus,2-s2.0-0003440801
"Hayes, A.F.","",[No title available],2013,"An introduction to mediation, moderation, and conditional process analysis: A regression-based approach",,,,"","",,11218,,,Article,"Final",,Scopus,2-s2.0-84870854437
"Heckman, J.J.","","Sample selection bias as a specification error",1979,"Econometrica","47","1",,"153","161",,10704,,,Article,"Final",,Scopus,2-s2.0-0000125534
"Meyer, J.W., Rowan, B.","","Institutionalized organizations: Formal structure as myth and ceremony",1977,"American Journal of Sociology","83","2",,"340","363",,9872,,,Article,"Final",,Scopus,2-s2.0-0000057597
"Markus, H.R., Kitayama, S.","7102054574;55237471300;","Culture and the self: Implications for cognition, emotion, and motivation",1991,"Psychological Review","98","2",,"224","253",,9686,"10.1037/0033-295X.98.2.224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-12044258070&doi=10.1037%2f0033-295X.98.2.224&partnerID=40&md5=37f39ba20daaf8ab2ca5e92c3eb2f2d3",Article,"Final",,Scopus,2-s2.0-12044258070
"Tajfel, H., Turner, J.C.","","The social identity theory of intergroup behavior",1986,"The Social Psychology of Intergroup Relations",,,,"7","24",,9502,,,Article,"Final",,Scopus,2-s2.0-0001868677
"Mayer, R.C., Davis, J.H., Schoorman, F.D.","","An integrative model of organizational trust",1995,"Academy of Management Review","20","3",,"709","734",,7301,,,Article,"Final",,Scopus,2-s2.0-0042495505
"Becker, G.S.","",[No title available],1981,"A Treatise on the Family",,,,"","",,6191,,,Article,"Final",,Scopus,2-s2.0-0004106624
"Becker, G.S.","",[No title available],1964,"Human Capital: A Theoretical and Empirical Analysis, with Special Reference to Education",,,,"","",,5273,,,Article,"Final",,Scopus,2-s2.0-0003659434
"Greenwald, A.G., McGhee, D.E., Schwartz, J.L.K.","7102946617;7004043650;35416114600;","Measuring individual differences in implicit cognition: The implicit association test",1998,"Journal of Personality and Social Psychology","74","6",,"1464","1480",,5070,"10.1037/0022-3514.74.6.1464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032084985&doi=10.1037%2f0022-3514.74.6.1464&partnerID=40&md5=58b3fb76a059a956f600a233b7a5fbdd",Article,"Final",,Scopus,2-s2.0-0032084985
